Código;Descrição;Local
C651770G537B;C65 17X7,0 5X114 ET37 BLACK;51D       
C91540B410;C9 15X4,0 4X100 ET 10 BRUTA;CONTAINER 
C91540B410HD;C9 15X4,0 4X100 ET10 HYPER DIAMOND;25E       
C91540B410P;C9 15X4,0 4X100 ET-10 POLIDA;23E       
C91540G510;C9 15X4 5X114 ET10 BRUTA;RUA 15 E  
C91540G510HD;C9 15X4,0 5X114 ET-10 HYPER DIAMOND;24E       
C91540G510P;C9 15X4,0 5X114 ET-10 POLIDA;23E       
C91570B430;C9 15X7,0 4X100 ET30 BRUTA;CONT 1 E 2
C91570B430HD;C9 15X7,0 4X100 ET30 HYPER DIAMOND;C2 e C5   
C91570B430P;C9 15X7,0 4X100 ET+30 POLIDA;23E       
C91570G525;C9 15X7 5X114 ET25 BRUTA;CONTAINER 
C91570G525HD;C9 15X7,0 5X114 ET25 HYPER DIAMOND;24E       
C91570G530P;C9 15X7,0 5X114 ET 25 POLIDA;23E       
C91580B420HD;C9 15X8,0 4X100 ET20 HYPER DIAMOND;25D       
C91580G520;C9 15X8,0 5X114,3 ET20 BRUTA;
C91580G520HD;C9 15X8,0 5X114 ET20 HYPER DIAMOND;25E       
C91580G520P;C9 15X8,0 5X114 ET20 POLIDA;
C91770B437HD;C9 17X7,0 4X100 ET37 HYPER DIAMOND;3D        
CALOTA;CALOTA;
CD003;R54 K47 BMW;
CD006;ANEL MITSUBISHI;
CD011;ANEL CENTRALIZADOR 63,4MM VERDE;
CD014;ANEL 60,10MM MAROM;
CD027;K16;
CD035;R6 VW ACAPULCO;
CD082;R12/R41/R62 PEGEOUT;
CD083;R88/R20/R23 FIAT;
CD086;R32 TOYOTA HILUX;
CD096;CALOTA R35 AUDI 5X100 FUROS;
CD097;CALOTA R35 AUDI 5X112 FUROS;
CD098;CALOTA R35 AUDI 4 FUROS;
CD099;S07 VW;
CD100;ANEL CENTRALIZADOR 106,1 /100,3;
CD101;EMBLEMA 68,8 MM VW AMAROK;
CD104;CALOTA R37 TOYOTA HILUX;
CD114;VW PADRAO;
CD115;R15 MONTANA;
CD123;EMBLEMA 55,5 MM BMW ABAUL CONC;
CD126;R66 FORD;
CD149;GM PRATA;
CD158;ANEL CENTRALIZADOR 106 93,1 R37;
CD160;R50 VW UP;
CD164;PORTA EMB 56MM+EMB KR NOVO PRETO;
CD170;ANEL CENTRALIZADOR 106,1-67,1;
CD205;EMBLEMA 63MM GM S10;
CD207;EMBLEMA 68MM BMW;
CD228;CALOTA K54;
CD233;PORTA EMBLEMA MERCEDES PRETO;
CD237;PORTA EMBLEMA GF (R43);
CD243;CALOTA K56 BORBET PRETA;
CD245;CALOTA K56 BORBET PRATA;
CD246;CALOTA K56 BORBET DOURADA;
CD247;K56 GRAFITE;
CD260;CALOTA CROMADA + EMBLEMA KR 44,3M;
CD267;CALOTA HYLUX R72 GRAFITE DIAMANTADA;
CD268;R73/S02/ TORO FIAT;
CD272;CALOTA JEEP R76 SS;
CD274;CALOTA C9 PRATA PRO S;
CD275;CALOTA C9 PRETA;
CD277;CALOTA C10 K59 KRMAI;
CD278;CALOTA R79  A GM S10  PRETA BRIL;
CD280;R89/R81 TOYOTA;
CD281;CALOTA R79 GM S10 BAIXA PRETA BRILHANTE;
CD283;CALOTA R98/S16/S08/S06/S17 HYUNDAI;
CD286;CALOTA M5 OMEGA E GM;
CD287;M6/M11 PORSCHE;
CD288;EMBLEMA 45 VW;
CD289;CALOTA R84 VW FUSCA;
CD290;CALOTA R87-BD AMAROK VW;
CD292;CALOTA RENAULT PRETA BRILHANTE E M7;
CD294;EMBLEMA 45MM OPALA SS;
CD295;CALOTA M8  SS;
CD296;M7 FORD;
CD297;CALOTA R90 NISSAN KICKS;
CD298;CALOTA M10 MAGNUM 500;
CD299;PORTA EMBLEMA CROMADO M10;
CD302;CALOTA S01/L03 NISSAN FRONTIER;
CD305;CALOTA R99;
CD308;CALOTA R56 BD;
CD312;CALOTA M12 PRETO FOSCO;
CD323;CALOTA S11 PRETO BRILHANTE TOYOTA HILUX;
CD324;S10/S05 PEUGEOT;
CD337;S14 CITROEN;
CD3371;CALOTA SEM LOGO;
CD341;PORTA EMBLEMA M15 PRETO BRILHANTE;
CD342;PORTA EMBLEMA M15 PRETO FOSCO;
CD344;EMBLEMA MKR 69MM (M12);
CD345;ETIQUETA EMBLEMA MKR ABAULADA;
CD350;PORTA EMBLEMA + EMBLEMA 52MM GM ESCOVADO;
CD352;CALOTA CROMADA E55;
CD355;EMBLEMA FIAT RESINADO 49 MM;
CD358;CALOTA R79 BAIXA NOVA S10 GRAF BRILHANTE;
CD382;CALOTA CROMADA E64;
CD383;CALOTA M22 PRETA BRILHANTE;
CD387;CALOTA CROMADA E63 RLW2 5 PONTAS;
CD392;EMBLEMA GM 55MM PRATA;
CD393;EMBLEMA GM 56MM PRETO;
CD394;EMBLEMA VW 56MM;
CD395;EMBLEMA FIAT TORO 60,6 MM PRETO;
CD397;CALOTA FIAT 58 MM;
CD399;PORTA EMBLEMA 55MM COR PRETO;
CD404;PORTA EMBLEMA NISSAN PRETO BRIL;
CD413;CALOTA M12 BRILHANTE;
CD415;CALOTA M19;
CD430;EMBLEMA 52,2 MM GM CONCENTRICO;
CD431;EMBLEMA 56MM BBS;
CD436;CALOTA S50 FORD PRETO BRILHANTE;
CD437;CALOTA S50 FORD PRETO FOSCO;
CD439;CALOTA S50 FORD GRAFITE FOSCO;
CD442;ETIQUETA EMBLEMA TOYOTA 62MM;
CD444;CALOTA R79 -A (NOVA S10) GRAP BRIL;
CD448;EMBLEMA PORSCHE DIAM 55MM;
CD455;CALOTA M32PRETO BRILHANTE;
CD456;CALOTA M32 HYPER GLOSS;
CD457;CALOTA M32 GLOSS SHADOW;
CDM17;CD M17;
CENT20805113BFD;CENTAURO 20X8,0 5X113 ET30 PRETO FOSCO D;C6        
DISC19855105BF;DISCOVERY 19X8,5 5X105 ET42 PRETO FOSCO;
DISC19855108BF;DISCOVERY 19X8,5 5X108 ET42 PRETO FOSCO;C7E       
DISC19855108GF;DISCOVERY 19X8,5 5X108 ET42 GRAFITE FOSC;C9        
DISC19855108SS;DISCOVERY 19X8,5 5X108 ET42 PRATA;
DISC19855113BF;DISCOVERY 19X8,5 5X113 ET42 PRETO FOSCO;C7        
DISC19855113GF;DISCOVERY 19X8,5 5X113 ET42 GRAFITE FOSC;C6        
DISC19855113OVF;DISCOVERY 19X8,5 5X113 ET42 OURO VELHO F;
