codigo,descricao,local,quantidade,est_mk,pend_mk,est_moleri,pend_moleri,est_cm,pend_cm,est_olimpo,pend_olimpo,preco,inventario_id
E562085R60LVD,"E56 20X8,5 6X139 ET0 VERM BORDA DIAMOND",Planilha,6,6,4,4,0,0,0,0,0,796,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581770G50GD,"E58 17X7,0 5X114 ET0 GRAPHITE DIAMOND",Planilha,5,5,3,4,0,0,0,0,0,583,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581770G50HD,"E58 17X7,0 5X114 ET0 HYPER DIAMOND",Planilha,46,46,6,4,0,4,0,0,0,583,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581770L50HD,"E58 17X7,0 5X120 ET0 HYPER DIAMOND",Planilha,20,20,4,4,0,0,0,0,0,583,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581770R50GD,"E58 17X7,0 5X139 ET0 GRAPHITE DIAMOND",Planilha,12,12,0,4,0,0,0,0,0,583,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581770R50HD,"E58 17X7,0 5X139 ET0 HYPER DIAMOND",Planilha,28,28,0,4,0,0,0,0,0,583,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880G50,"E58 18X8,0 5X114 ET0",Planilha,12,12,0,0,0,0,0,0,0,617,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880G50GD,"E58 18X8,0 5X114 ET0 GRAPHITE DIAMOND",Planilha,8,8,4,4,0,1,0,0,0,708,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880G50GFD,"E58 18X8,0 5X114 ET0 GRAPHITE FOSCO DIAM",Planilha,5,5,0,4,0,0,0,0,0,661,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880G50HD,"E58 18X8,0 5X114 ET0 HYPER DIAMOND",Planilha,43,43,0,4,0,20,0,4,0,708,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880G50P,"E58 18X8,0 5X114 ET0 POLIDA",Planilha,6,6,0,4,0,0,0,0,0,708,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880L50,"E58 18X8,0 5X120 ET0",Planilha,4,4,0,0,0,0,0,0,0,617,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880L50HD,"E58 18X8,0 5X120 ET0 HYPER DIAMOND",Planilha,33,33,3,4,0,0,16,0,0,708,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880L50P,"E58 18X8,0 5X120 ET0 POLIDA",Planilha,0,0,0,0,0,0,0,0,0,708,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880R50,"E58 18X8,0 5X139 ET0",Planilha,4,4,0,0,0,0,0,0,0,661,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880R50GD,"E58 18X8,0 5X139 ET0 GRAPHITE DIAMOND",Planilha,8,8,0,4,0,0,0,0,0,708,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880R50HD,"E58 18X8,0 5X139 ET0 HYPER DIAMOND",Planilha,9,9,4,4,0,0,16,0,0,708,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E581880R50P,"E58 18X8,0 5X139 ET0 POLIDA",Planilha,0,0,0,0,0,0,0,0,0,708,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582080R50P,"E58 20X8,0 5X139 ET0 POLIDA",Planilha,0,0,0,0,0,0,0,0,0,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085G50,E58 20X8 5X114 ET0,Planilha,4,4,0,0,0,0,0,0,0,765,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085G50P,"E58 20X8,5 5X114 G ET0 POLIDA",Planilha,14,14,0,4,0,0,0,0,0,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085G5G0BD,"E58 20X8,5 5X114 G ET0 BLACK DIAMOND",Planilha,6,6,1,4,0,0,0,0,0,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085G5G0GD,"E58 20X8,5 5X114 G ET0 GRAPHITE DIAMOND",Planilha,11,11,0,4,0,4,0,0,0,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085G5G0HD,"E58 20X8,5 5X114 G ET0 HYPER DIAMOND",Planilha,18,18,1,4,0,2,0,4,0,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085L520P,"E58 20X8,5 5X120 ET0 POLIDA",Planilha,4,4,0,0,0,0,0,0,0,0,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085L5G0,E58 20X8 5X120 ET0,Planilha,4,4,0,0,0,0,0,0,0,765,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085L5G0BD,"E58 20X8,5 5X120 G ET0 BLACK DIAMOND",Planilha,6,6,0,4,0,0,0,0,0,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085L5G0HD,"E58 20X8,5 5X120 G ET0 HYPER DIAMOND",Planilha,4,4,12,4,0,0,0,0,0,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085R50P,"E58 20X8,5 5X139 ET0 POLIDA",Planilha,4,4,0,4,0,0,0,0,0,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085R5G0,E58 20X8 5X139 ET0,Planilha,0,0,16,0,0,0,0,0,0,765,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085R5G0BD,"E58 20X8,5 5X139 G ET0 BLACK DIAMOND",Planilha,9,9,0,4,0,4,0,0,0,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085R5G0GD,"E58 20X8,5 5X139 G ET0 GRAPHITE DIAMOND",Planilha,16,16,0,4,0,0,4,0,0,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E582085R5G0HD,"E58 20X8,5 5X139 G ET0 HYPER DIAMOND",Planilha,10,10,6,4,0,4,0,0,4,819,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631570G50HD,"E63 15X7,0 5X114 ET0 HYPER DIAMOND",Planilha,20,20,0,4,0,0,0,0,0,451,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631570G520,"E63 15X7,0 5X114 ET20",Planilha,4,4,0,0,0,0,0,0,0,493.75,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631570G520HD,"E63 15X7,0 5X114 ET20 HYPER DIAMOND",Planilha,1,1,32,0,0,0,0,0,0,451,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631570G520P,"E63 15X7,0 5X114 ET20 POLIDA",Planilha,8,8,0,4,0,0,0,0,0,451,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631570R50GD,"E63 15X7,0 5X139 ET0 GRAPHITE DIAMOND",Planilha,1,1,3,4,0,0,0,0,0,451,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631570R50HD,"E63 15X7,0 5X139 ET0 HYPER DIAMOND",Planilha,10,10,0,4,0,0,0,0,0,451,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631580G50GD,"C63 15X8,0 5X114 ET0 GRAPHITE DIAMOND*",Planilha,0,0,6,0,0,0,0,0,0,485,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631580G55GD,"E63 15X8,0 5X114 ET-5 GRAPHITE DIAMOND",Planilha,26,26,0,4,0,0,0,0,0,485,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631580G55HD,"E63 15X8,0 5X114 ET-5 HYPER DIAMOND",Planilha,35,35,31,4,0,0,0,0,0,485,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631580R55GD,"E63 15X8,0 5X139 ET-5 GRAPHITE DIAMOND",Planilha,0,0,12,0,0,0,0,0,0,485,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E631580R55HD,"E63 15X8,0 5X139 ET-5 HYPER DIAMOND",Planilha,10,10,8,4,0,0,0,0,0,485,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E641770G50GD,"E64 17X7,0 5X114 ET0 GRAPHITE DIAMOND",Planilha,5,5,27,4,0,0,0,0,0,570,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E641770G50HD,"E64 17X7,0 5X114 ET0 HYPER DIAMOND",Planilha,3,3,52,4,0,0,0,0,0,570,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E641770R50GD,"E64 17X7,0 5X139 ET0 GRAPHITE DIAMOND",Planilha,16,16,4,4,0,4,0,0,0,570,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E641770R50HD,"E64 17X7,0 5X139 ET0 HYPER DIAMOND",Planilha,15,15,0,4,0,0,0,0,0,570,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E8720105G520BD,"E87 20X10,5 5X114 ET-20 BLACK DIAMOND",Planilha,4,4,11,4,0,4,4,0,0,864,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E8720105G520GD,"E87 20X10,5 5X114 ET-20 GRAPHITE DIAMOND",Planilha,5,5,2,4,11,4,0,0,0,864,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E8720105R520BD,"E87 20X10,5 5X139 ET-20 BLACK DIAMOND",Planilha,6,6,14,4,0,2,0,0,0,864,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E8720105R520GD,"E87 20X10,5 5X139 ET-20 GRAPHITE DIAMOND",Planilha,17,17,12,4,1,2,0,0,0,864,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E8720105R620BD,"E87 20X10,5 6X139 ET-20 BLACK DIAMOND",Planilha,23,23,2,4,0,4,0,0,0,864,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E8720105R620GD,"E87 20X10,5 6X139 ET-20 GRAPHITE DIAMOND",Planilha,11,11,5,4,0,6,0,0,0,864,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E872080G50BD,"E87 20X8,0 5X114 ET0 BLACK DIAMOND",Planilha,17,17,0,4,0,4,0,0,0,773,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E872080G50GD,"E87 20X8,0 5X114 ET0 GRAPHITE DIAMOND",Planilha,18,18,0,4,0,4,0,0,0,773,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E872080R50BD,"E87 20X8,0 5X139 ET0 BLACK DIAMOND",Planilha,23,23,0,4,0,2,0,0,0,773,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E872080R50GD,"E87 20X8,0 5X139 ET0 GRAPHITE DIAMOND",Planilha,21,21,0,4,0,6,0,0,0,773,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E872080R60BD,"E87 20X8,0 6X139 ET0 BLACK DIAMOND",Planilha,13,13,0,4,0,4,0,0,0,773,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E872080R60GD,"E87 20X8,0 6X139 ET0 GRAPHITE DIAMOND",Planilha,0,0,26,0,0,0,0,0,0,773,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E901770F5I36BD,E90 17X7 5X112 I ET36 BLACK DIAMOND,Planilha,8,8,0,4,0,0,4,0,0,473,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E901770G5N36BD,"E90 17X7,0 5X114 N ET36 BLACK DIAMOND",Planilha,4,4,0,4,0,4,0,0,0,473,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
E901770P5N36BD,"E90 17X7,0 5X130 N ET36 BLACK DIAMOND",Planilha,6,6,26,4,0,0,4,0,0,473,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F11770B4A40B,"F1 17X7,0 4X100 ET40 BLACK",Planilha,16,16,0,4,0,4,4,4,0,489,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F11770B4A40HG,"F1 17X7,0 4X100 ET40 HYPER GLOSS",Planilha,0,0,12,0,0,0,4,0,0,489,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F11770B5A40B,"F1 17X7,0 5X100 ET40 BLACK",Planilha,4,4,0,4,0,8,0,4,0,489,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F11770B5A40HG,"F1 17X7,0 5X100 ET40 HYPER GLOSS",Planilha,8,8,0,0,0,0,0,0,0,489,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F11770D4A40B,"F1 17X7,0 4X108 ET40 BLACK",Planilha,4,4,4,0,0,4,0,0,0,489,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F11770F5A40HG,"F1 17X7,0 5X112 ET40 HYPER GLOSS",Planilha,12,12,0,0,0,4,0,0,0,489,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F11770G5A40B,"F1 17X7,0 5X114 ET40 BLACK",Planilha,16,16,0,4,0,0,0,0,0,489,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F11770G5A40HG,"F1 17X7,0 5X114 ET40 HYPER GLOSS",Planilha,0,0,0,0,0,0,4,0,0,489,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F22075B5A42B,"F2 20X7,5 5X100 A ET42 BLACK",Planilha,5,5,0,0,0,0,0,0,0,659,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F22075B5A42BD,"F2 20X7,5 5X100 ET42 BLACK DIAMOND F.L",Planilha,0,0,0,0,0,0,0,0,0,659,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F22075B5A42HG,"F2 20X7,5 5X100 A ET42 HYPER GLOSS F.L",Planilha,0,0,0,0,0,0,0,0,0,659,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F22075C5A42HG,"F2 20X7,5 5X105 A ET42 HYPER GLOSS",Planilha,0,0,0,0,0,0,0,0,0,659,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F22075D5A42HG,"F2 20X7,5 5X108 A ET42 HYPER GLOSS F.L",Planilha,4,4,0,4,0,0,0,0,0,659,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F22075F5A42B,"F2 20X7,5 5X112 A ET42 BLACK F.L",Planilha,4,4,0,4,0,0,0,4,0,659,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F22075F5A42HG,"F2 20X7,5 5X112 A ET42 HYPER GLOSS F.L",Planilha,1,1,0,0,0,0,0,0,0,659,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F22075G5A42B,"F2 20X7,5 5X114 A ET42 BLACK F.L",Planilha,0,0,0,0,0,0,0,0,0,659,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F31760B4D36HG,"F3 17X6,0 4X100 D ET36 HYPER GLOSS",Planilha,20,20,0,20,0,20,0,0,0,489,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F41560B4C38HG,"F4 15X6,0 4X100 ET38 HYPER GLOSS",Planilha,16,16,0,12,0,28,0,12,0,354,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F52080B5A40BD,"F5 20X8,0 5X100 A ET40 BLACK DIAMOND",Planilha,8,8,0,8,0,8,0,12,0,726,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F52080B5A40GS,"F5 20X8,0 5X100 A ET40 GLOSS SHADOW",Planilha,8,8,0,8,0,12,0,4,0,726,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
F52080B5A40HG,"F5 20X8,0 5X100 A ET40 HYPER GLOSS",Planilha,12,12,0,16,0,10,0,16,0,726,5ff708b0-fe6a-4cb2-8f75-ac38360c88fd
